43001  Aiguamúrcia;"643.0";"627.0";"614.0";"329.0";"313.0";"310.0";"314.0";"314.0";"304.0";
43002  Albinyana;"1296.0";"1184.0";"1077.0";"667.0";"603.0";"553.0";"629.0";"581.0";"524.0";
43003  Albiol (L');"159.0";"144.0";"144.0";"83.0";"73.0";"74.0";"76.0";"71.0";"70.0";
43004  Alcanar;"7801.0";"7711.0";"7727.0";"3862.0";"3812.0";"3796.0";"3939.0";"3899.0";"3931.0";
43005  Alcover;"3692.0";"3664.0";"3523.0";"1873.0";"1861.0";"1798.0";"1819.0";"1803.0";"1725.0";
43904  Aldea (L');"3526.0";"3533.0";"3563.0";"1787.0";"1792.0";"1802.0";"1739.0";"1741.0";"1761.0";
43006  Aldover;"784.0";"795.0";"794.0";"370.0";"376.0";"376.0";"414.0";"419.0";"418.0";
43007  Aleixar (L');"699.0";"685.0";"633.0";"351.0";"337.0";"312.0";"348.0";"348.0";"321.0";
43008  Alfara de Carles;"382.0";"382.0";"383.0";"201.0";"201.0";"202.0";"181.0";"181.0";"181.0";
43009  Alforja;"1230.0";"1179.0";"1179.0";"639.0";"605.0";"597.0";"591.0";"574.0";"582.0";
43010  Alió;"364.0";"355.0";"339.0";"185.0";"180.0";"164.0";"179.0";"175.0";"175.0";
43011  Almoster;"767.0";"716.0";"679.0";"387.0";"362.0";"338.0";"380.0";"354.0";"341.0";
43012  Altafulla;"2955.0";"2778.0";"2555.0";"1512.0";"1419.0";"1302.0";"1443.0";"1359.0";"1253.0";
43013  Ametlla de Mar (L');"4777.0";"4537.0";"4341.0";"2398.0";"2263.0";"2155.0";"2379.0";"2274.0";"2186.0";
43906  Ampolla (L');"1756.0";"1701.0";"1667.0";"865.0";"840.0";"818.0";"891.0";"861.0";"849.0";
43014  Amposta;"16162.0";"15951.0";"15900.0";"7982.0";"7896.0";"7864.0";"8180.0";"8055.0";"8036.0";
43016  Arboç (L');"3485.0";"3427.0";"3362.0";"1807.0";"1772.0";"1718.0";"1678.0";"1655.0";"1644.0";
43015  Arbolí;"131.0";"131.0";"131.0";"66.0";"65.0";"64.0";"65.0";"66.0";"67.0";
43017  Argentera (L');"146.0";"139.0";"149.0";"82.0";"77.0";"83.0";"64.0";"62.0";"66.0";
43018  Arnes;"518.0";"511.0";"535.0";"268.0";"266.0";"275.0";"250.0";"245.0";"260.0";
43019  Ascó;"1709.0";"1711.0";"1714.0";"864.0";"863.0";"860.0";"845.0";"848.0";"854.0";
43020  Banyeres del Penedès;"1647.0";"1595.0";"1524.0";"858.0";"826.0";"783.0";"789.0";"769.0";"741.0";
43021  Barberà de la Conca;"405.0";"394.0";"401.0";"205.0";"198.0";"201.0";"200.0";"196.0";"200.0";
43022  Batea;"1970.0";"1973.0";"1985.0";"1000.0";"997.0";"1004.0";"970.0";"976.0";"981.0";
43023  Bellmunt del Priorat;"314.0";"307.0";"303.0";"156.0";"151.0";"147.0";"158.0";"156.0";"156.0";
43024  Bellvei;"1293.0";"1273.0";"1241.0";"685.0";"673.0";"659.0";"608.0";"600.0";"582.0";
43025  Benifallet;"904.0";"886.0";"896.0";"449.0";"447.0";"450.0";"455.0";"439.0";"446.0";
43026  Benissanet;"1017.0";"1016.0";"1020.0";"524.0";"519.0";"510.0";"493.0";"497.0";"510.0";
43027  Bisbal de Falset (La);"242.0";"245.0";"245.0";"119.0";"121.0";"122.0";"123.0";"124.0";"123.0";
43028  Bisbal del Penedès (La);"1812.0";"1747.0";"1628.0";"954.0";"909.0";"834.0";"858.0";"838.0";"794.0";
43029  Blancafort;"387.0";"390.0";"395.0";"197.0";"198.0";"197.0";"190.0";"192.0";"198.0";
43030  Bonastre;"317.0";"328.0";"303.0";"158.0";"162.0";"157.0";"159.0";"166.0";"146.0";
43031  Borges del Camp (Les);"1521.0";"1476.0";"1471.0";"766.0";"749.0";"738.0";"755.0";"727.0";"733.0";
43032  Bot;"850.0";"858.0";"858.0";"430.0";"434.0";"437.0";"420.0";"424.0";"421.0";
43033  Botarell;"572.0";"530.0";"510.0";"282.0";"264.0";"258.0";"290.0";"266.0";"252.0";
43034  Bràfim;"571.0";"567.0";"569.0";"282.0";"276.0";"276.0";"289.0";"291.0";"293.0";
43035  Cabacés;"340.0";"337.0";"340.0";"181.0";"177.0";"175.0";"159.0";"160.0";"165.0";
43036  Cabra del Camp;"560.0";"508.0";"483.0";"303.0";"275.0";"263.0";"257.0";"233.0";"220.0";
43037  Calafell;"11106.0";"10576.0";"9772.0";"5609.0";"5338.0";"4912.0";"5497.0";"5238.0";"4860.0";
43903  Camarles;"2914.0";"2944.0";"2953.0";"1448.0";"1463.0";"1485.0";"1466.0";"1481.0";"1468.0";
43038  Cambrils;"19087.0";"18385.0";"17536.0";"9469.0";"9114.0";"8709.0";"9618.0";"9271.0";"8827.0";
43039  Capafonts;"115.0";"118.0";"105.0";"62.0";"61.0";"55.0";"53.0";"57.0";"50.0";
43040  Capçanes;"404.0";"411.0";"409.0";"185.0";"190.0";"184.0";"219.0";"221.0";"225.0";
