30	MURCIA	0		24	Lorca	12498046,71	6,01	12183814,58	13722909,38	210985,30	2097562,29	6539354,27	60101,21	150265,05	47463044,80	12561027,98	5724339,79	1021720,58	14875622,73	10064876,89	1009736,40	60101,21	2145619,22	47463044,80
30	MURCIA	0		25	Lorquí	793895,16	198333,99	1801855,18	851310,28	18030,36	185334,34	345993,74	13823,28	254362,68	4462939,01	1085948,78	843007,29	49884,00	486406,76	1887865,75	20876,63	13823,28	75126,51	4462939,00
30	MURCIA	0		27	Molina de Segura	7449545,03	2073491,76	7326498,43	6500071,57	585576,43	1160382,22	10729154,10	48086,98	1780806,16	37653612,68	9058305,46	11652799,41	647764,84	1103833,86	13727198,22	93397,28	48086,98	1322226,63	37653612,68
30	MURCIA	0		28	Moratalla	844038,81	76303,61	375830,85	1360194,75	22683,55	30117,92	1131750,12	0,00	736892,46	4577812,07	1162278,24	786322,41	128884,67	568638,06	1652472,95	210354,24	0,00	65928,59	4574879,16
30	MURCIA	0		29	Mula	1917228,61	162273,27	1863077,42	1729111,82	30651,62	0,00	1097357,95	18030,36	874646,91	7692377,96	1855853,26	3010133,06	126212,54	380098,09	2092297,43	28247,57	18030,36	181505,66	7692377,97
30	MURCIA	0		30	Murcia	71956204,25	11118729,94	27225989,65	53281889,95	3454629,60	5409108,94	5709614,99	961619,37	27847699,12	206965485,81	59491425,83	69396055,05	9528039,41	15013228,91	31516897,92	7449525,13	961619,37	13608694,19	206965485,81
30	MURCIA	0		31	Ojós	75727,53	10385,49	80379,36	174996,69	19532,89	0,00	509207,51	0,00	0,00	870229,47	93427,33	185670,67	0,00	11809,89	579321,58	0,00	0,00	0,00	870229,47
30	MURCIA	0		32	Pliego	345597,20	54097,10	435210,90	678434,48	19959,61	1226,06	366629,40	1220,05	24,04	1902398,84	677608,79	670422,99	7825,18	71448,87	441436,35	0,00	1202,02	32454,65	1902398,85
30	MURCIA	0		33	Puerto Lumbreras	1518457,08	265196,59	1137315,05	1343758,14	21486,18	684878,88	0,00	0,00	661113,31	5632205,23	1765725,47	1718136,42	168283,39	333561,72	1315941,59	30050,61	0,00	300506,05	5632205,25
30	MURCIA	0		34	Ricote	116145,59	18030,36	117710,41	276259,93	9465,94	0,00	554264,11	4808,10	62054,50	1158738,94	250473,01	233176,35	3576,02	24491,24	560416,29	0,00	4808,10	65480,27	1142421,28
30	MURCIA	0		35	San Javier	9063262,53	1183993,85	3512885,70	2508052,12	211232,88	0,00	2380478,90	36066,74	2566083,58	21462056,30	7066332,79	5886022,24	328152,61	1279267,10	6430750,55	0,00	36066,74	435464,28	21462056,31
30	MURCIA	0		36	San Pedro del Pinatar	3509910,69	390657,87	2137349,30	1854554,30	474799,56	0,00	626924,82	0,00	986621,46	9980818,00	3602355,23	3497497,52	260925,32	500253,22	1442839,68	0,00	0,00	676947,00	9980817,97
30	MURCIA	0		37	Torre-Pacheco	4002740,62	1081821,79	2866689,51	3155914,56	10217,21	2524268,87	1761472,41	6,01	1202030,22	16605161,20	4689867,02	4178236,15	300512,06	1473988,20	5827324,02	0,00	3011,07	132222,66	16605161,18
30	MURCIA	0		38	Torres de Cotillas (Las)	2288954,60	480809,68	1640306,28	2081483,59	5709,61	650829,04	749514,94	18030,36	360007,00	8275645,10	3128046,31	2883205,07	84742,71	258234,80	1760344,96	1803,04	18030,36	141237,84	8275645,09
30	MURCIA	0		39	Totana	3371005,20	558821,05	2438277,85	4431503,17	268837,55	240404,84	2514707,16	12020,24	2189755,25	16025332,31	4711201,45	4347231,80	41508,64	1051273,65	5582883,33	150253,03	12020,24	128960,19	16025332,33
30	MURCIA	0		40	Ulea	117888,52	242207,88	237945,57	562382,58	13273,95	0,00	1111752,19	0,00	127414,57	2412865,26	192913,81	744168,33	6010,12	141057,54	1325409,89	0,00	0,00	3305,57	2412865,26
30	MURCIA	0		41	Unión (La)	1738354,45	426718,59	1494978,03	2612829,93	8864,93	0,00	980272,00	3005,06	219737,91	7484760,90	2539688,68	2630046,30	314329,33	613199,59	1193880,80	36179,72	3005,06	154431,42	7484760,90
30	MURCIA	0		42	Villanueva del Río Segura	133451,73	78131,57	798709,03	313803,05	6611,13	0,00	184024,01	0,00	180303,63	1695034,15	269706,18	268303,82	12621,25	59888,85	1082410,51	0,00	0,00	2103,54	1695034,15
30	MURCIA	0		43	Yecla	5198153,69	637072,83	2512686,82	3964097,10	261620,57	2029304,95	1385802,04	72121,45	1274579,72	17335439,17	6008372,10	3501778,09	450759,08	1040681,31	3841437,60	0,00	72121,45	1736658,12	16651807,75
30	MURCIA	0		901	Santomera	1317508,68	396667,99	1438535,03	1264682,94	18030,36	504850,17	1435031,08	18030,36	817954,90	7211291,51	1611772,32	1967142,47	65419,65	354307,77	3027302,24	0,00	18030,36	167316,70	7211291,51
30	MURCIA	0		902	Alcázares (Los)	2693889,10	848809,40	2340942,15	907314,98	12020,24	4056831,70	1444038,87	0,00	398957,85	12702804,29	3001942,00	3281557,66	74785,23	249699,98	5999428,86	0,00	0,00	95390,56	12702804,29
